utc_timestamp,DE_KN_residential3_grid_import,DE_KN_residential3_grid_export,temp,holiday,season_Autumn,season_Spring,season_Summer,season_Winter,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
2016-02-29 05:45:00,6.64013671875,0.0,-0.55,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 06:00:00,6.849609375,0.0,-0.6,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 06:15:00,6.98486328125,0.0,-0.575,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 06:30:00,7.4921875,0.0,-0.55,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 06:45:00,7.91748046875,0.0,-0.525,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 07:00:00,7.9775390625,0.0,-0.5,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 07:15:00,8.04638671875,0.0,-0.3,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 07:30:00,8.11669921875,0.0,-0.09999999999999998,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 07:45:00,8.16748046875,0.0,0.10000000000000009,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 08:00:00,8.21630859375,0.0,0.3,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 08:15:00,8.26708984375,0.0,0.725,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 08:30:00,8.3173828125,0.0,1.15,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 08:45:00,8.3642578125,0.0,1.575,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 09:00:00,8.42724609375,0.0,2.0,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 09:15:00,8.45654296875,0.0,2.3,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 09:30:00,8.46875,0.0,2.6,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 09:45:00,8.46875,0.009765625,2.9000000000000004,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 10:00:00,8.46875,0.01953125,3.2,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 10:15:00,8.52685546875,0.01953125,3.5,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 10:30:00,8.7275390625,0.01953125,3.8000000000000003,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 10:45:00,8.82470703125,0.01953125,4.1000000000000005,0,0,0,0,1,0,1,0,0,0,0,0
2016-02-29 11:00:00,8.90478515625,0.01953125,4.4,0,0,0,0,1,0,1,0,0,0,0,0
