mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr,param_module__num_layers,param_module__num_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
9.90141503016154,0.31007162707036606,0.20095467567443848,0.021851253152299948,0.01,1,1,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 1}",-0.01298744510859251,-0.011533530429005623,-0.012230115942656994,-0.012250363826751709,0.0005937308349116318,91
9.98481829961141,0.1890756668185861,0.21364482243855795,0.0199522956649709,0.01,1,2,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 2}",-0.013265944086015224,-0.010741163045167923,-0.014007044024765491,-0.012671383718649546,0.0013980036161268922,282
11.852210601170858,0.17751258111863266,0.20833547910054526,0.006203910272625717,0.01,1,3,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 3}",-0.013966808095574379,-0.011859318241477013,-0.014583544805645943,-0.01346989038089911,0.0011663470051402603,392
11.074760357538858,0.8979244119276514,0.20963923136393228,0.002569646513772828,0.01,1,4,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 4}",-0.01378227211534977,-0.012078050523996353,-0.01191112119704485,-0.012590481278796991,0.000845474383060579,259
11.856888135274252,0.10843693918435328,0.2161122957865397,0.030797938242688873,0.01,1,5,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 5}",-0.01339962612837553,-0.013659129850566387,-0.011405136436223984,-0.012821297471721968,0.0010069656082524261,317
8.410396814346313,2.310329335400972,0.19721786181131998,0.002366276570574761,0.01,1,6,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 6}",-0.016244057565927505,-0.011419923976063728,-0.013613643124699593,-0.013759208222230276,0.0019721322000020407,409
6.692141930262248,0.07452895436610399,0.19798660278320312,0.01371737293862361,0.01,1,7,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 7}",-0.015208937227725983,-0.012269406579434872,-0.013833017088472843,-0.0137704536318779,0.001200873500869685,411
6.7608083089192705,0.01754164587705621,0.2447210152943929,0.016828468519550825,0.01,1,8,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 8}",-0.013946506194770336,-0.013691486790776253,-0.012615658342838287,-0.013417883776128292,0.000576733883442717,387
6.698013146718343,0.03331281140785418,0.2015503247578939,0.0129587956999252,0.01,1,9,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 9}",-0.015861395746469498,-0.013284876011312008,-0.013452480547130108,-0.014199584101637205,0.0011770687539482303,433
6.739120880762736,0.09740029448352913,0.21333511670430502,0.0012468534367184453,0.01,1,10,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 10}",-0.013604307547211647,-0.012571701779961586,-0.013284742832183838,-0.013153584053119024,0.0004316407739728731,362
6.729806582132976,0.06008039905324488,0.22666732470194498,0.03026990875240312,0.01,1,11,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 11}",-0.013903860934078693,-0.01343892514705658,-0.013657270930707455,-0.013666685670614243,0.00018992594962090258,402
6.857075770696004,0.086030062631066,0.23661168416341147,0.023034606715654667,0.01,1,12,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 12}",-0.015055770054459572,-0.012127721682190895,-0.014355224557220936,-0.0138462387646238,0.001248376738111166,415
7.014516671498616,0.15390515162737972,0.2629207770029704,0.05228449550381798,0.01,1,13,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 13}",-0.014946074225008488,-0.013384013436734676,-0.014075921848416328,-0.014135336503386497,0.0006390910485392872,429
6.882960240046184,0.02376583120066512,0.2208720842997233,0.005046250114226514,0.01,1,14,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 14}",-0.01471014879643917,-0.013927103951573372,-0.013540835119783878,-0.014059362622598806,0.000486444848295152,425
6.947657664616902,0.03961680008933903,0.21233272552490234,0.021669834908814647,0.01,1,15,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 15}",-0.015548606403172016,-0.012464191764593124,-0.013571079820394516,-0.013861292662719885,0.0012758189620939867,416
6.9126562277476,0.182701217646955,0.20666027069091797,0.017980338144587923,0.01,1,16,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 16}",-0.013491491787135601,-0.012434805743396282,-0.014271752908825874,-0.013399350146452585,0.0007527555086063344,385
7.016454776128133,0.10313656972461731,0.2673190434773763,0.027850926186694717,0.01,1,17,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 17}",-0.015814291313290596,-0.012816264294087887,-0.013307442888617516,-0.013979332831998667,0.0013129149690618237,420
7.027753909428914,0.11204837930003095,0.260714848836263,0.025324950711627166,0.01,1,18,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 18}",-0.01617811806499958,-0.012594250962138176,-0.013776307925581932,-0.014182892317573229,0.0014910866291849597,432
6.837536573410034,0.03828071616700891,0.2102193832397461,0.02224770302544514,0.01,1,19,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 19}",-0.01637275703251362,-0.013374888338148594,-0.014305099844932556,-0.014684248405198256,0.0012528951539606521,440
6.943272829055786,0.1506884799271763,0.2160337766011556,0.018353895003975815,0.01,1,20,"{'lr': 0.01, 'module__num_layers': 1, 'module__num_units': 20}",-0.015474597923457623,-0.013367847539484501,-0.014118967577815056,-0.014320471013585726,0.0008717996792318987,438
